Case ID;Actual;Prefix Length;Prediction;"Prediction Probability;SHAP Precision;SHAP Recall;SHAP Correlation";MAPE Correctness;RMSE Correctness;R2 Correctness;Mode
951;1;1;0;"0.5718333805610655;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_max
1016;0;1;0;"0.5718333805610655;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_max
1019;0;1;0;"0.5718333805610655;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_max
1027;0;1;0;"0.5718333805610655;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_max
1057;1;1;0;"0.5718333805610655;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_max
1085;1;1;0;"0.5718333805610655;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_max
1097;1;1;0;"0.5718333805610655;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_max
1108;0;1;0;"0.5718333805610655;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_max
1000_3;0;3;0;"0.5718333805610655;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_max
1001_12;0;12;0;"0.5718333805610655;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_max
1002_13;1;13;1;"0.9963262307127112;1.0;1.0;1.0";;;;baseline_max
1003_10;0;10;0;"0.5718333805610655;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_max
1009_14;0;14;0;"0.5718333805610655;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_max
1009_2;0;2;0;"0.5718333805610655;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_max
1013_4;1;4;0;"0.5718333805610655;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_max
1014_11;1;11;1;"0.9963262307127112;1.0;1.0;1.0";;;;baseline_max
1017_4;1;4;0;"0.5718333805610655;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_max
1018_11;0;11;0;"0.5718333805610655;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_max
1019_11;0;11;0;"0.5718333805610655;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_max
1019_13;0;13;0;"0.5718333805610655;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_max
1019_2;0;2;0;"0.5718333805610655;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_max
1020_10;1;10;1;"0.9963262307127112;1.0;1.0;1.0";;;;baseline_max
1025_10;0;10;0;"0.5718333805610655;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_max
1028_10;1;10;1;"0.9963262307127112;1.0;1.0;1.0";;;;baseline_max
1028_12;1;12;1;"0.9963262307127112;1.0;1.0;1.0";;;;baseline_max
1030_10;1;10;0;"0.5718333805610655;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_max
1033_11;0;11;0;"0.5718333805610655;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_max
1033_5;0;5;0;"0.5718333805610655;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_max
1033_9;0;9;0;"0.5718333805610655;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_max
1034_8;0;8;0;"0.5718333805610655;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_max
1038_12;0;12;0;"0.5718333805610655;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_max
1038_6;0;6;0;"0.5718333805610655;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_max
1042_12;1;12;1;"0.9963262307127112;1.0;1.0;1.0";;;;baseline_max
1042_14;1;14;1;"0.9963262307127112;1.0;1.0;1.0";;;;baseline_max
1043_5;1;5;1;"0.9963262307127112;1.0;1.0;1.0";;;;baseline_max
1048_14;0;14;0;"0.5718333805610655;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_max
1050_6;1;6;0;"0.5718333805610655;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_max
1052_13;1;13;1;"0.9963262307127112;1.0;1.0;1.0";;;;baseline_max
1053_5;0;5;0;"0.5718333805610655;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_max
1055_14;1;14;1;"0.9963262307127112;1.0;1.0;1.0";;;;baseline_max
1056_8;0;8;0;"0.5718333805610655;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_max
1056_9;0;9;0;"0.5718333805610655;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_max
1057_14;1;14;1;"0.9963262307127112;1.0;1.0;1.0";;;;baseline_max
1062_10;1;10;1;"0.9963262307127112;1.0;1.0;1.0";;;;baseline_max
1063_5;1;5;0;"0.5718333805610655;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_max
1066_12;1;12;1;"0.9963262307127112;1.0;1.0;1.0";;;;baseline_max
1066_13;1;13;1;"0.9963262307127112;1.0;1.0;1.0";;;;baseline_max
1072_4;1;4;0;"0.5718333805610655;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_max
1074_10;0;10;0;"0.5718333805610655;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_max
1079_6;0;6;0;"0.5718333805610655;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_max
1081_9;1;9;0;"0.5718333805610655;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_max
1084_7;0;7;0;"0.5718333805610655;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_max
1091_4;1;4;0;"0.5718333805610655;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_max
1093_8;1;8;0;"0.5718333805610655;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_max
1096_10;0;10;0;"0.5718333805610655;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_max
1099_3;0;3;0;"0.5718333805610655;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_max
1103_2;0;2;0;"0.5718333805610655;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_max
1104_8;1;8;1;"0.9963262307127112;1.0;1.0;1.0";;;;baseline_max
1105_7;0;7;0;"0.5718333805610655;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_max
1106_5;0;5;0;"0.5718333805610655;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_max
1110_4;0;4;0;"0.5718333805610655;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_max
1111_6;0;6;0;"0.5718333805610655;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_max
