Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;MAPE Correctness;RMSE Correctness;R2 Correctness;Mode
914;1;1;1;1.0;0.26732581635328756;-12.36366253774218;-12.36366253774218;0.13862838516272005;0.13862838516272005;-0.13830235295474938;baseline_max
950;0;1;0;1.0;1.0;0.7453226929842263;0.7453226929842263;0.06789583059085334;0.06789583059085334;-0.03481381454143776;baseline_max
975;0;1;0;1.0;1.0;0.9910568203846987;0.9910568203846987;0.1638987339127705;0.16392376562690156;-0.16337846324980007;baseline_max
999;0;1;0;1.0;1.0;0.9228458127645303;0.9228458127645303;0.08288991049449777;0.08288991049449777;-0.06313690509209645;baseline_max
1004;1;1;1;1.0;0.18619791666666663;-18.916109459576013;-18.916109459576013;0.11587049127684308;0.11587049127684308;-0.11570214511736215;baseline_max
1105;0;1;0;1.0;1.0;0.928303391745614;0.928303391745614;0.07490922338532814;0.07490922338532814;-0.054972910453957885;baseline_max
1119;1;1;1;1.0;0.832529474812433;-2.2645578359121195;-2.2645578359121195;0.2927570201756237;0.2927570201756237;-0.28669832061492473;baseline_max
1134;1;1;0;0.9999999999995453;1.0;0.8660007537632088;0.8660007537632088;0.07315918399346656;0.07315918399346656;-0.1269638353122759;baseline_max
1001_12;0;12;0;1.0;1.0;0.9863145511714453;0.9863145511714453;0.0847189382781606;0.0847189382781606;-0.0790177940911507;baseline_max
1004_9;1;9;1;1.0;0.2985971943887774;-5.811700329223396;-5.811700329223396;0.5383103874960221;0.5383103874960221;-0.5259937660710257;baseline_max
1007_8;1;8;0;1.0;0.8689624446366329;-2.5800455559386224;-2.5800455559386224;0.06688481740682327;0.06688749855588212;-0.03506991859751749;baseline_max
1013_11;1;11;0;1.0;0.5995995995995996;-8.614688571536087;-8.614688571536087;0.0880154385970119;0.0880154385970119;-0.08319589663258398;baseline_max
1014_14;1;14;0;1.0;0.9086891413126849;-1.7658211529212844;-1.7658211529212844;0.09577594401922576;0.09577594401922576;-0.0951963668830752;baseline_max
1022_11;0;11;1;1.0;0.8689624446366329;-1.4507291977585859;-1.4507291977585859;0.33927388358053784;0.33927388358053784;-0.32921477997038806;baseline_max
