"Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability";MAPE Correctness;RMSE Correctness;R2 Correctness;Mode
"914;1;1;1;1.0;0.26732581635328756;-12.36366253774218;-12.36366253774218";0.04529687158777714;0.04529687158777714;-0.04529687158777714;baseline_mean
"950;0;1;0;1.0;1.0;0.7453226929842263;0.7453226929842263";0.04529687158777714;0.04529687158777714;-0.04529687158777714;baseline_mean
"975;0;1;0;1.0;1.0;0.9910568203846987;0.9910568203846987";;;;baseline_mean
"999;0;1;0;1.0;1.0;0.9228458127645303;0.9228458127645303";0.04529687158777714;0.04529687158777714;-0.04529687158777714;baseline_mean
"1004;1;1;1;1.0;0.18619791666666663;-18.916109459576013;-18.916109459576013";0.04529687158777714;0.04529687158777714;-0.04529687158777714;baseline_mean
"1105;0;1;0;1.0;1.0;0.928303391745614;0.928303391745614";0.04529687158777714;0.04529687158777714;-0.04529687158777714;baseline_mean
"1119;1;1;1;1.0;0.832529474812433;-2.2645578359121195;-2.2645578359121195";0.04529687158777714;0.04529687158777714;-0.04529687158777714;baseline_mean
"1134;1;1;0;0.9999999999995453;1.0;0.8660007537632088;0.8660007537632088";0.03463168932232274;0.03463168932232274;-0.03247852513815378;baseline_mean
"1001_12;0;12;0;1.0;1.0;0.9863145511714453;0.9863145511714453";0.04529687158777714;0.04529687158777714;-0.04529687158777714;baseline_mean
"1004_9;1;9;1;1.0;0.2985971943887774;-5.811700329223396;-5.811700329223396";0.04529687158777714;0.04529687158777714;-0.04529687158777714;baseline_mean
"1007_8;1;8;0;1.0;0.8689624446366329;-2.5800455559386224;-2.5800455559386224";0.07820767406162629;0.07820767406162629;-0.07816827198331143;baseline_mean
"1013_11;1;11;0;1.0;0.5995995995995996;-8.614688571536087;-8.614688571536087";;;;baseline_mean
"1014_14;1;14;0;1.0;0.9086891413126849;-1.7658211529212844;-1.7658211529212844";0.04529687158777714;0.04529687158777714;-0.04529687158777714;baseline_mean
"1022_11;0;11;1;1.0;0.8689624446366329;-1.4507291977585859;-1.4507291977585859";0.04529687158777714;0.04529687158777714;-0.04529687158777714;baseline_mean
"1022_7;0;7;1;1.0;0.8953309217577706;-3.569655161313662;-3.569655161313662";0.04529687158777714;0.04529687158777714;-0.04529687158777714;baseline_mean
"1026_13;1;13;1;1.0;0.8743971061093248;-0.5168257602852342;-0.5168257602852342";0.04529687158777714;0.04529687158777714;-0.04529687158777714;baseline_mean
